,id_mapa,anio,mes,dia,fecha,franja,tipo,subtipo,uso_armas,barrio,comuna,latitud,longitud,victimas
985,LC-2020-0071904,2020,Febrero,Lunes,03/02/2020,7,Lesiones,Siniestro Vial,,Puerto Madero,1.0,-34.618061,-58.365751,
986,LC-2020-0071946,2020,Enero,Viernes,31/01/2020,8,Lesiones,Siniestro Vial,,Parque Chacabuco,7.0,-34.638543,-58.426706,
987,LC-2020-0071969,2020,Enero,Viernes,31/01/2020,8,Lesiones,Siniestro Vial,,Parque Chacabuco,7.0,-34.638543,-58.426706,
988,LC-2020-0072178,2020,Febrero,Lunes,03/02/2020,17,Lesiones,Siniestro Vial,,Belgrano,13.0,-34.564875,-58.454251,
989,LC-2020-0072180,2020,Febrero,Lunes,03/02/2020,15,Lesiones,Siniestro Vial,,Colegiales,13.0,-34.579015,-58.455242,
990,LC-2020-0072316,2020,Febrero,Sábado,01/02/2020,14,Lesiones,Siniestro Vial,,Boedo,5.0,-34.629286,-58.426136,
991,LC-2020-0072411,2020,Enero,Viernes,31/01/2020,19,Lesiones,Siniestro Vial,,Villa Crespo,15.0,-34.597852,-58.448775,
992,LC-2020-0072428,2020,Febrero,Lunes,03/02/2020,0,Lesiones,Siniestro Vial,,Retiro,1.0,-34.588032,-58.371771,
993,LC-2020-0072615,2020,Febrero,Lunes,03/02/2020,18,Lesiones,Siniestro Vial,,Balvanera,3.0,-34.60958,-58.397596,
994,LC-2020-0072702,2020,Febrero,Lunes,03/02/2020,16,Lesiones,Siniestro Vial,,Recoleta,2.0,-34.587274,-58.389776,
995,LC-2020-0072887,2020,Febrero,Lunes,03/02/2020,22,Lesiones,Siniestro Vial,,Balvanera,3.0,-34.610119,-58.405971,
996,LC-2020-0072912,2020,Febrero,Lunes,03/02/2020,23,Lesiones,Siniestro Vial,,Palermo,14.0,-34.583459,-58.406178,
997,LC-2020-0072921,2020,Febrero,Lunes,03/02/2020,23,Lesiones,Siniestro Vial,,Belgrano,13.0,-34.560743,-58.459283,
998,LC-2020-0072959,2020,Febrero,Lunes,03/02/2020,21,Lesiones,Siniestro Vial,,Palermo,14.0,-34.559184,-58.427487,
999,LC-2020-0072962,2020,Febrero,Lunes,03/02/2020,23,Lesiones,Siniestro Vial,,Retiro,1.0,-34.592655,-58.375448,
1000,LC-2020-0072988,2020,Febrero,Lunes,03/02/2020,23,Lesiones,Siniestro Vial,,Belgrano,13.0,-34.560743,-58.459283,
1001,LC-2020-0073335,2020,Febrero,Martes,04/02/2020,8,Lesiones,Siniestro Vial,,Almagro,5.0,-34.60971,-58.419918,
1002,LC-2020-0073550,2020,Febrero,Martes,04/02/2020,10,Lesiones,Siniestro Vial,,Saavedra,12.0,-34.563908,-58.506154,
1003,LC-2020-0073614,2020,Febrero,Martes,04/02/2020,11,Lesiones,Siniestro Vial,,,,,,
1004,LC-2020-0073707,2020,Febrero,Martes,04/02/2020,11,Lesiones,Siniestro Vial,,Flores,7.0,-34.624107,-58.464372,
1005,LC-2020-0073721,2020,Febrero,Martes,04/02/2020,11,Lesiones,Siniestro Vial,,Villa Crespo,15.0,-34.588856,-58.438253,
1006,LC-2020-0073731,2020,Febrero,Martes,04/02/2020,3,Lesiones,Siniestro Vial,,Parque Avellaneda,9.0,-34.651176,-58.467398,
1007,LC-2020-0073810,2020,Enero,Lunes,20/01/2020,19,Lesiones,Siniestro Vial,,Saavedra,12.0,-34.539371,-58.475488,
1008,LC-2020-0073840,2020,Febrero,Martes,04/02/2020,12,Lesiones,Siniestro Vial,,,,,,
1009,LC-2020-0073866,2020,Febrero,Martes,04/02/2020,10,Lesiones,Siniestro Vial,,Nueva Pompeya,4.0,-34.640886,-58.412353,
1010,LC-2020-0073900,2020,Febrero,Martes,04/02/2020,12,Lesiones,Siniestro Vial,,Villa Crespo,15.0,-34.606166,-58.452017,
1011,LC-2020-0073922,2020,Febrero,Martes,04/02/2020,11,Lesiones,Siniestro Vial,,Villa Crespo,15.0,-34.590461,-58.440673,
1012,LC-2020-0074097,2020,Enero,Miércoles,29/01/2020,12,Lesiones,Siniestro Vial,,Villa Urquiza,12.0,-34.582783,-58.487824,
1013,LC-2020-0074244,2020,Febrero,Martes,04/02/2020,14,Lesiones,Siniestro Vial,,Caballito,6.0,-34.622072,-58.427799,
1014,LC-2020-0074382,2020,Febrero,Martes,04/02/2020,15,Lesiones,Siniestro Vial,,Villa Devoto,11.0,-34.599907,-58.511204,
1015,LC-2020-0074481,2020,Febrero,Martes,04/02/2020,14,Lesiones,Siniestro Vial,,Almagro,5.0,-34.606008,-58.419859,
1016,LC-2020-0074482,2020,Enero,Viernes,31/01/2020,10,Lesiones,Siniestro Vial,,Parque Patricios,4.0,-34.63537,-58.395961,
1017,LC-2020-0074612,2020,Febrero,Martes,04/02/2020,14,Lesiones,Siniestro Vial,,San Cristóbal,3.0,-34.623986,-58.391438,
1018,LC-2020-0074623,2020,Febrero,Martes,04/02/2020,15,Lesiones,Siniestro Vial,,Parque Chas,15.0,-34.584818,-58.488792,
1019,LC-2020-0074728,2020,Febrero,Sábado,01/02/2020,19,Lesiones,Siniestro Vial,,San Cristóbal,3.0,-34.627261,-58.392166,
1020,LC-2020-0074782,2020,Febrero,Martes,04/02/2020,18,Lesiones,Siniestro Vial,,Balvanera,3.0,-34.616812,-58.403263,
1021,LC-2020-0074786,2020,Febrero,Martes,04/02/2020,16,Lesiones,Siniestro Vial,,Parque Chas,15.0,-34.582395,-58.475915,
1022,LC-2020-0074921,2020,Febrero,Martes,04/02/2020,17,Lesiones,Siniestro Vial,,Villa Santa Rita,11.0,-34.613759,-58.479678,
1023,LC-2020-0074934,2020,Febrero,Martes,04/02/2020,17,Lesiones,Siniestro Vial,,San Cristóbal,3.0,-34.619107,-58.391672,
1024,LC-2020-0075062,2020,Febrero,Martes,04/02/2020,18,Lesiones,Siniestro Vial,,Nuñez,13.0,-34.54737,-58.456516,
1025,LC-2020-0075065,2020,Febrero,Martes,04/02/2020,16,Lesiones,Siniestro Vial,,Boedo,5.0,-34.634366,-58.411372,
1026,LC-2020-0075183,2020,Febrero,Martes,04/02/2020,18,Lesiones,Siniestro Vial,,Retiro,1.0,-34.597854,-58.371153,
1027,LC-2020-0075198,2020,Febrero,Martes,04/02/2020,20,Lesiones,Siniestro Vial,,Parque Chacabuco,7.0,-34.638119,-58.431887,
1028,LC-2020-0075223,2020,Febrero,Martes,04/02/2020,18,Lesiones,Siniestro Vial,,Parque Avellaneda,9.0,-34.657841,-58.478816,
1029,LC-2020-0075277,2020,Febrero,Martes,04/02/2020,20,Lesiones,Siniestro Vial,,Villa Urquiza,12.0,-34.564418,-58.488309,
1030,LC-2020-0075334,2020,Febrero,Martes,04/02/2020,21,Lesiones,Siniestro Vial,,Balvanera,3.0,-34.609293,-58.412371,
1031,LC-2020-0075528,2020,Febrero,Martes,04/02/2020,23,Lesiones,Siniestro Vial,,Villa Lugano,8.0,-34.672256,-58.495593,
1032,LC-2020-0075541,2020,Febrero,Miércoles,05/02/2020,1,Lesiones,Siniestro Vial,,Palermo,14.0,-34.569402,-58.426774,
1033,LC-2020-0075593,2020,Febrero,Miércoles,05/02/2020,0,Lesiones,Siniestro Vial,,Balvanera,3.0,-34.61242,-58.405573,
1034,LC-2020-0075649,2020,Febrero,Martes,04/02/2020,23,Lesiones,Siniestro Vial,,Villa Crespo,15.0,-34.598974,-58.439767,
1035,LC-2020-0075735,2020,Febrero,Miércoles,05/02/2020,5,Lesiones,Siniestro Vial,,Retiro,1.0,-34.594301,-58.382779,
1036,LC-2020-0075787,2020,Febrero,Miércoles,05/02/2020,7,Lesiones,Siniestro Vial,,Parque Chacabuco,7.0,-34.640437,-58.424922,
1037,LC-2020-0075849,2020,Febrero,Miércoles,05/02/2020,7,Lesiones,Siniestro Vial,,Chacarita,15.0,-34.587509,-58.444285,
1038,LC-2020-0075877,2020,Febrero,Lunes,03/02/2020,9,Lesiones,Siniestro Vial,,Villa Lugano,8.0,-34.682961,-58.463906,
1039,LC-2020-0075886,2020,Febrero,Miércoles,05/02/2020,8,Lesiones,Siniestro Vial,,San Cristóbal,3.0,-34.626568,-58.393315,
1040,LC-2020-0075949,2020,Febrero,Miércoles,05/02/2020,9,Lesiones,Siniestro Vial,,Boca,4.0,-34.631975,-58.360948,
1041,LC-2020-0076077,2020,Febrero,Miércoles,05/02/2020,9,Lesiones,Siniestro Vial,,Villa Urquiza,12.0,-34.572083,-58.482507,
1042,LC-2020-0076139,2020,Febrero,Miércoles,05/02/2020,10,Lesiones,Siniestro Vial,,Caballito,6.0,-34.627363,-58.429817,
1043,LC-2020-0076366,2020,Febrero,Miércoles,05/02/2020,11,Lesiones,Siniestro Vial,,Retiro,1.0,-34.589003,-58.369586,
1044,LC-2020-0076510,2020,Febrero,Miércoles,05/02/2020,12,Lesiones,Siniestro Vial,,San Telmo,1.0,-34.623127,-58.368274,
1045,LC-2020-0076522,2020,Febrero,Miércoles,05/02/2020,12,Lesiones,Siniestro Vial,,Villa Soldati,8.0,-34.664503,-58.436576,
1046,LC-2020-0076581,2020,Febrero,Miércoles,05/02/2020,12,Lesiones,Siniestro Vial,,Barracas,4.0,-34.631405,-58.373836,
1047,LC-2020-0076671,2020,Febrero,Martes,04/02/2020,13,Lesiones,Siniestro Vial,,Balvanera,3.0,-34.608311,-58.411892,
